Job,Name,Frequency
Camera Operator,Peter McCaffrey,4
Camera Operator,Onofrio Nino Pansini,4
Camera Operator,Joseph V. Cicio,4
Camera Operator,Thomas Lappin,4
Camera Operator,Kim Marks,4
Camera Operator,Daniel C. Gold,4
Original Music Composer,John Williams,35
Original Music Composer,Hans Zimmer,32
Original Music Composer,James Newton Howard,32
Original Music Composer,Danny Elfman,24
Original Music Composer,John Powell,23
Original Music Composer,James Horner,17
Original Music Composer,Alan Silvestri,15
Original Music Composer,Howard Shore,13
Original Music Composer,Michael Giacchino,13
Original Music Composer,Harry Gregson-Williams,11
Original Music Composer,Christophe Beck,10
Original Music Composer,Thomas Newman,9
Original Music Composer,Brian Tyler,8
Original Music Composer,John Ottman,7
Original Music Composer,Henry Jackman,7
Original Music Composer,Randy Newman,7
Original Music Composer,Patrick Doyle,7
Original Music Composer,Trevor Rabin,7
Original Music Composer,Jerry Goldsmith,7
Original Music Composer,John Debney,6
Director of Photography,Janusz Kamiński,13
Director of Photography,Dean Cundey,12
Director of Photography,John Seale,11
Director of Photography,Andrew Lesnie,10
Director of Photography,Dariusz Wolski,9
Director of Photography,Dean Semler,9
Director of Photography,Robert Richardson,9
Director of Photography,David Tattersall,9
Director of Photography,John Schwartzman,8
Director of Photography,Bill Pope,7
Director of Photography,Newton Thomas Sigel,7
Director of Photography,John Toll,7
Director of Photography,Don Burgess,7
Director of Photography,Daniel Mindel,6
Director of Photography,Russell Carpenter,6
Director of Photography,Matthew Libatique,6
Director of Photography,Michael Ballhaus,6
Director of Photography,Oliver Wood,6
Director of Photography,Phil Meheux,6
Director of Photography,Amir Mokri,5
Makeup Artist,Bill Corso,11
Makeup Artist,Ve Neill,10
Makeup Artist,Deborah La Mia Denaver,6
Makeup Artist,Daniel C. Striepeke,6
Makeup Artist,Sian Grigg,5
Makeup Artist,Angela Levin,4
Makeup Artist,Michèle Burke,4
Makeup Artist,Todd Kleitsch,4
Makeup Artist,Michal Bigger,4
Makeup Artist,Donald Mowat,3
Makeup Artist,Karen Blynder,3
Makeup Artist,Jay Wejebe,3
Makeup Artist,Deborah Rutherford,3
Makeup Artist,Gerald Quist,3
Makeup Artist,Ailbhe Lemass,3
Makeup Artist,Allan A. Apone,3
Makeup Artist,Steve LaPorte,3
Makeup Artist,Michelle Vittone,3
Makeup Artist,Roxy D'Alonzo,3
Makeup Artist,Gretchen Davis,3
Production Design,Rick Carter,12
Production Design,Philip Messina,10
Production Design,Stuart Craig,9
Production Design,Arthur Max,9
Production Design,Peter Lamont,9
Production Design,Dennis Gassner,8
Production Design,J. Michael Riva,8
Production Design,Neil Spisak,7
Production Design,Gavin Bocquet,7
Production Design,Thomas E. Sanders,7
Production Design,William Sandell,7
Production Design,Rick Heinrichs,6
Production Design,Nathan Crowley,6
Production Design,Grant Major,6
Production Design,Jeff Mann,6
Production Design,Patrick Tatopoulos,5
Production Design,Alex McDowell,5
Production Design,John Myhre,5
Production Design,Bo Welch,5
Production Design,Owen Paterson,5
Visual Effects Producer,Michelle Eisenreich,6
Visual Effects Producer,Thomas Nittmann,6
Visual Effects Producer,Melinka Thompson-Godoy,6
Visual Effects Producer,Robin L. D'Arcy,5
Visual Effects Producer,Cyndi Ochs,4
Visual Effects Producer,Julie Orosz,4
Visual Effects Producer,Greg Maloney,4
Visual Effects Producer,Dane Allan Smith,4
Visual Effects Producer,Julia Frey,4
Visual Effects Producer,Jenny Fulle,4
Visual Effects Producer,Brice Liesveld,4
Visual Effects Producer,Chris Del Conte,3
Visual Effects Producer,Ken Dailey,3
Visual Effects Producer,Mike Chambers,3
Visual Effects Producer,Michel Mielke,3
Visual Effects Producer,Jennifer Silver,3
Visual Effects Producer,Kim Lee,3
Visual Effects Producer,Blondel Aidoo,3
Visual Effects Producer,Max Leonard,3
Visual Effects Producer,Ron Ames,3
Costume Design,Joanna Johnston,15
Costume Design,Marlene Stewart,14
Costume Design,Colleen Atwood,12
Costume Design,Deborah Lynn Scott,10
Costume Design,Lindy Hemming,10
Costume Design,Michael Wilkinson,9
Costume Design,Michael Kaplan,9
Costume Design,Jany Temime,8
Costume Design,Louise Mingenbach,8
Costume Design,Sanja Milkovic Hays,8
Costume Design,Sandy Powell,8
